Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,m,n,k,A,B,C,D,alpha,beta,split_k_mode,split_k_slices,batch_count,raster_order,runtime_input_datatype_a,runtime_input_datatype_b,use_pdl,enable_sm90_mixed_dtype_shuffle_test,swizzle_size,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,cluster_m_fallback,cluster_n_fallback,cluster_k_fallback,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,gemm,cutlass_simt_sgemm_128x32_8x2_tn_align1,passed,success,universal,4096,4096,4096,f32:row,f32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,32,8,1,1,1,1,1,1,2,2,1,1,1,1,1,50,1024,201326592,137472507904,682,5.43206,34.5173,25307.6
1,CUTLASS,gemm,cutlass_simt_sgemm_32x128_8x2_tn_align1,passed,success,universal,4096,4096,4096,f32:row,f32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,32,128,8,1,1,1,1,1,1,2,1,2,1,1,1,1,50,1024,201326592,137472507904,682,4.89223,38.326,28100.2
1,CUTLASS,gemm,cutlass_simt_sgemm_128x128_8x2_tt_align1,passed,success,universal,4096,4096,4096,f32:row,f32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,128,8,1,1,1,1,1,1,2,4,2,1,1,1,1,50,1024,201326592,137472507904,682,3.72731,50.3044,36882.5
1,CUTLASS,gemm,cutlass_simt_sgemm_128x64_8x2_tt_align1,passed,success,universal,4096,4096,4096,f32:row,f32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,64,8,1,1,1,1,1,1,2,2,2,1,1,1,1,50,1024,201326592,137472507904,682,4.45384,42.0985,30866.1
1,CUTLASS,gemm,cutlass_simt_sgemm_64x128_8x2_tt_align1,passed,success,universal,4096,4096,4096,f32:row,f32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,64,128,8,1,1,1,1,1,1,2,2,2,1,1,1,1,50,1024,201326592,137472507904,682,3.83949,48.8346,35804.9
1,CUTLASS,gemm,cutlass_simt_sgemm_64x64_8x2_tt_align1,passed,success,universal,4096,4096,4096,f32:row,f32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,64,64,8,1,1,1,1,1,1,2,2,1,1,1,1,1,50,1024,201326592,137472507904,682,4.76048,39.3868,28877.9
1,CUTLASS,gemm,cutlass_simt_sgemm_128x32_8x2_tt_align1,passed,success,universal,4096,4096,4096,f32:row,f32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,32,8,1,1,1,1,1,1,2,2,1,1,1,1,1,50,1024,201326592,137472507904,682,6.4719,28.9714,21241.5
1,CUTLASS,gemm,cutlass_simt_sgemm_32x128_8x2_tt_align1,passed,success,universal,4096,4096,4096,f32:row,f32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,32,128,8,1,1,1,1,1,1,2,1,2,1,1,1,1,50,1024,201326592,137472507904,682,4.40343,42.5805,31219.4
1,CUTLASS,gemm,cutlass_simt_sgemm_256x128_8x5_nn_align1,passed,success,universal,4096,4096,4096,f32:column,f32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,256,128,8,1,1,1,1,1,1,5,4,2,1,1,1,1,50,1024,201326592,137472507904,682,4.24723,44.1465,32367.6
1,CUTLASS,gemm,cutlass_simt_sgemm_128x256_8x5_nn_align1,passed,success,universal,4096,4096,4096,f32:column,f32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,256,8,1,1,1,1,1,1,5,2,4,1,1,1,1,50,1024,201326592,137472507904,682,4.05178,46.276,33929
